               E              E2              E4         E_trans              mz             mz2             mz4              mx             mx2             mx4              OP             OP2             OP4             ice            ice2           rho_x           rho_y
   -6.025000e-01    9.581000e-01    4.417700e+00    0.000000e+00   -1.000000e+00    1.000000e+00    1.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    1.000000e+00    1.000000e+00    1.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
   -6.087000e-01    9.905000e-01    4.975700e+00    0.000000e+00   -1.000000e+00    1.000000e+00    1.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    1.000000e+00    1.000000e+00    1.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
   -2.500206e+00    6.376017e+00    4.387159e+01    0.000000e+00   -1.000000e+00    1.000000e+00    1.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    1.000000e+00    1.000000e+00    1.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
   -5.003863e-01    3.002916e-01    1.554422e-01    0.000000e+00   -1.000000e+00    1.000000e+00    1.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    1.000000e+00    1.000000e+00    1.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
   -2.499420e+00    6.371711e+00    4.380848e+01    0.000000e+00   -1.000000e+00    1.000000e+00    1.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    1.000000e+00    1.000000e+00    1.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
   -1.791799e+01    3.211678e+02    1.032949e+05    0.000000e+00   -2.618750e-04    3.121517e-02    3.235916e-03    0.000000e+00    0.000000e+00    0.000000e+00    9.180500e-01    8.605183e-01    7.892383e-01    7.196331e-01    5.316921e-01    0.000000e+00    0.000000e+00
    1.408304e+01    1.984452e+02    3.947014e+04    0.000000e+00   -5.337500e-04    3.168383e-02    3.195985e-03    0.000000e+00    0.000000e+00    0.000000e+00    9.170750e-01    8.588638e-01    7.867168e-01    7.177613e-01    5.286076e-01    0.000000e+00    0.000000e+00
   -1.792220e+01    3.213184e+02    1.033914e+05    0.000000e+00    5.562500e-04    3.020164e-02    2.983023e-03    0.000000e+00    0.000000e+00    0.000000e+00    9.193950e-01    8.626388e-01    7.921324e-01    7.229525e-01    5.357161e-01    0.000000e+00    0.000000e+00
   -5.710933e+01    3.261553e+03    1.063874e+07    0.000000e+00    9.187500e-05    1.773576e-02    9.678437e-04    0.000000e+00    0.000000e+00    0.000000e+00    9.348250e-01    8.813744e-01    8.002149e-01    6.841594e-01    4.753719e-01    0.000000e+00    0.000000e+00
   -5.714241e+01    3.265342e+03    1.066359e+07    0.000000e+00   -2.175000e-04    3.019535e-02    2.817034e-03    0.000000e+00    0.000000e+00    0.000000e+00    9.456250e-01    9.003963e-01    8.305629e-01    5.714475e-01    3.405960e-01    0.000000e+00    0.000000e+00
   -5.713316e+01    3.264279e+03    1.065658e+07    0.000000e+00   -6.250000e-03    2.781738e-02    2.399308e-03    0.000000e+00    0.000000e+00    0.000000e+00    9.508750e-01    9.097344e-01    8.456775e-01    5.814375e-01    3.468467e-01    0.000000e+00    0.000000e+00
   -1.325880e+00    1.790886e+00    3.445390e+00    0.000000e+00   -1.000000e+00    1.000000e+00    1.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    1.000000e+00    1.000000e+00    1.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
   -1.325512e+00    1.789984e+00    3.442795e+00    0.000000e+00   -1.000000e+00    1.000000e+00    1.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    1.000000e+00    1.000000e+00    1.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
