            beta              J0              J1              J2              J3              hx               E              E2              E4         E_trans              mz             mz2             mz4              mx             mx2             mx4              OP             OP2             OP4             ice            ice2           rho_x           rho_y
    5.000000e+00    1.000000e+00    3.000000e-01    1.000000e-01    0.000000e+00    0.000000e+00   -7.416926e-01    5.698069e-01    3.694396e-01    0.000000e+00    1.109750e-03    6.007928e-02    1.049680e-02    0.000000e+00    0.000000e+00    0.000000e+00    4.422400e-02    1.246990e-01    4.249075e-02    3.959955e-01    1.862779e-01    0.000000e+00    0.000000e+00
    5.000000e+00    1.000000e+00    3.000000e-01    1.000000e-01    0.000000e+00    0.000000e+00   -7.171466e-01    5.342775e-01    3.280663e-01    0.000000e+00   -1.065000e-04    6.039000e-02    1.064059e-02    0.000000e+00    0.000000e+00    0.000000e+00    4.819900e-02    1.257655e-01    4.307237e-02    3.965755e-01    1.868989e-01    0.000000e+00    0.000000e+00
    5.000000e+00    1.000000e+00    3.000000e-01    1.000000e-01    0.000000e+00    0.000000e+00   -7.189744e-01    5.368960e-01    3.311808e-01    0.000000e+00   -4.620000e-04    6.087412e-02    1.079313e-02    0.000000e+00    0.000000e+00    0.000000e+00    4.891700e-02    1.257855e-01    4.304288e-02    3.969607e-01    1.872372e-01    0.000000e+00    0.000000e+00
    5.000000e+00    1.000000e+00    3.000000e-01    1.000000e-01    0.000000e+00    0.000000e+00   -6.933915e-01    5.009084e-01    2.912379e-01    0.000000e+00   -3.357500e-04    6.025922e-02    1.059538e-02    0.000000e+00    0.000000e+00    0.000000e+00    4.838000e-02    1.251170e-01    4.306475e-02    3.974368e-01    1.876987e-01    0.000000e+00    0.000000e+00
    5.000000e+00    1.000000e+00    3.000000e-01    1.000000e-01    0.000000e+00    0.000000e+00   -8.677503e-01    7.728524e-01    6.588538e-01    0.000000e+00   -1.545000e-04    5.996644e-02    1.048294e-02    0.000000e+00    0.000000e+00    0.000000e+00    4.969400e-02    1.254130e-01    4.308025e-02    3.984715e-01    1.884267e-01    0.000000e+00    0.000000e+00
    5.000000e+00    1.000000e+00    3.000000e-01    1.000000e-01    0.000000e+00    0.000000e+00   -8.669584e-01    7.716135e-01    6.571453e-01    0.000000e+00   -1.007500e-04    6.045353e-02    1.062482e-02    0.000000e+00    0.000000e+00    0.000000e+00    4.655600e-02    1.247360e-01    4.279550e-02    3.957702e-01    1.861816e-01    0.000000e+00    0.000000e+00
    5.000000e+00    1.000000e+00    3.000000e-01    1.000000e-01    0.000000e+00    0.000000e+00   -8.680257e-01    7.732027e-01    6.588784e-01    0.000000e+00   -4.325000e-04    6.020100e-02    1.058172e-02    0.000000e+00    0.000000e+00    0.000000e+00    4.953400e-02    1.265400e-01    4.371750e-02    3.979735e-01    1.882534e-01    0.000000e+00    0.000000e+00
    5.000000e+00    1.000000e+00    3.000000e-01    1.000000e-01    0.000000e+00    0.000000e+00   -8.729310e-01    7.819791e-01    6.739860e-01    0.000000e+00   -1.227500e-04    6.193666e-02    1.105363e-02    0.000000e+00    0.000000e+00    0.000000e+00    1.288900e-02    1.245805e-01    4.179062e-02    3.807153e-01    1.742541e-01    0.000000e+00    0.000000e+00
    5.000000e+00    1.000000e+00    3.000000e-01    1.000000e-01    0.000000e+00    0.000000e+00   -8.740940e-01    7.840016e-01    6.773448e-01    0.000000e+00   -3.680000e-04    6.214050e-02    1.119679e-02    0.000000e+00    0.000000e+00    0.000000e+00    1.210700e-02    1.255735e-01    4.380437e-02    3.802677e-01    1.741572e-01    0.000000e+00    0.000000e+00
    5.000000e+00    1.000000e+00    3.000000e-01    1.000000e-01    0.000000e+00    0.000000e+00   -8.735603e-01    7.830220e-01    6.755903e-01    0.000000e+00   -1.000000e-06    6.185569e-02    1.105550e-02    0.000000e+00    0.000000e+00    0.000000e+00    1.291300e-02    1.261265e-01    4.228512e-02    3.811562e-01    1.749110e-01    0.000000e+00    0.000000e+00
    5.000000e+00    1.000000e+00    3.000000e-01    1.000000e-01    0.000000e+00    0.000000e+00   -8.977994e-01    8.259901e-01    7.483409e-01    0.000000e+00   -1.790000e-04    6.237019e-02    1.121475e-02    0.000000e+00    0.000000e+00    0.000000e+00    1.413400e-02    1.241530e-01    4.411075e-02    3.805225e-01    1.740634e-01    0.000000e+00    0.000000e+00
    5.000000e+00    1.000000e+00    3.000000e-01    1.000000e-01    0.000000e+00    0.000000e+00   -8.970699e-01    8.246342e-01    7.457609e-01    0.000000e+00    1.825000e-05    6.195416e-02    1.115608e-02    0.000000e+00    0.000000e+00    0.000000e+00    1.556000e-02    1.252620e-01    4.399950e-02    3.819677e-01    1.754800e-01    0.000000e+00    0.000000e+00
    5.000000e+00    1.000000e+00    3.000000e-01    1.000000e-01    0.000000e+00    0.000000e+00   -9.002955e-01    8.306076e-01    7.566801e-01    0.000000e+00   -5.682500e-04    6.253741e-02    1.131914e-02    0.000000e+00    0.000000e+00    0.000000e+00    1.357000e-02    1.253870e-01    4.334975e-02    3.802605e-01    1.741387e-01    0.000000e+00    0.000000e+00
    2.000000e+01    1.000000e+00    3.000000e-01    1.000000e-01    0.000000e+00    0.000000e+00   -8.991857e-01    8.135153e-01    6.780226e-01    0.000000e+00    4.380000e-04    6.134300e-02    1.092533e-02    0.000000e+00    0.000000e+00    0.000000e+00    3.906000e-02    1.255410e-01    3.138525e-02    3.919550e-01    1.833462e-01    0.000000e+00    0.000000e+00
    2.000000e+01    1.000000e+00    3.000000e-01    1.000000e-01    0.000000e+00    0.000000e+00   -8.988269e-01    8.128636e-01    6.769240e-01    0.000000e+00    4.900000e-05    6.144600e-02    1.097550e-02    0.000000e+00    0.000000e+00    0.000000e+00    3.828900e-02    1.244745e-01    5.431762e-02    3.918380e-01    1.829591e-01    0.000000e+00    0.000000e+00
    1.000000e+00    1.000000e+00    3.000000e-01    1.000000e-01    0.000000e+00    0.000000e+00   -9.031074e-01    9.160974e-01    1.209109e+00    0.000000e+00    3.825000e-05    6.269722e-02    1.130583e-02    0.000000e+00    0.000000e+00    0.000000e+00   -3.320000e-04    1.248640e-01    4.265050e-02    3.743392e-01    1.694764e-01    0.000000e+00    0.000000e+00
    1.000000e+00    1.000000e+00    3.000000e-01    1.000000e-01    0.000000e+00    0.000000e+00   -7.072436e-01    6.021530e-01    6.066516e-01    0.000000e+00   -5.692500e-04    5.872359e-02    1.001481e-02    0.000000e+00    0.000000e+00    0.000000e+00    3.287000e-02    1.256040e-01    4.342800e-02    3.947555e-01    1.855955e-01    0.000000e+00    0.000000e+00
    1.000000e+00    1.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -4.962459e-01    3.082378e-01    1.713855e-01    0.000000e+00   -2.845000e-04    6.271212e-02    1.134521e-02    0.000000e+00    0.000000e+00    0.000000e+00    3.204000e-03    1.253540e-01    4.305950e-02    3.761297e-01    1.709627e-01    0.000000e+00    0.000000e+00
    1.000000e+00    1.000000e+00    3.000000e-01    0.000000e+00    0.000000e+00    0.000000e+00   -6.063844e-01    4.570209e-01    3.714378e-01    0.000000e+00   -8.012500e-04    5.862378e-02    9.972352e-03    0.000000e+00    0.000000e+00    0.000000e+00    3.447700e-02    1.266035e-01    4.369887e-02    3.956807e-01    1.865245e-01    0.000000e+00    0.000000e+00
